Order_ID,Date,City,Product_Name,Category,Quantity,Unit_Price,Total_Sales,Delivery_Time,Customer_Rating,Payment_Mode,Delivery_Type,Seller_Name
1001,28-04-2024,Delhi,Wheat Flour 1kg,dairy,two,50,250.0,43,4.0,cash,Standard,FreshFarm
1002,09-06-2024,delhi,Sugar 1kg,Grocery,3,60,180.0,58,,UPI,Standard,BakeHouse
1003,12-01-2024,Pune,Cake 500g,Vegetables,4,70,280.0,90,N/A,Card,express,FreshFarm
1004,2024-06-18,Bengaluru,Onion 1kg,Vegetables,2,55,110.0,43,4.7,upi,express,GroceryHub
1005,2024/05/15,Jaipur,Banana 1dozen,Grocery,,100,300.0,36,4.0,UPI,express,FarmFresh
1006,2024/05/03,Mumbai,Rice 1kg,grocery,4,40,160.0,34,N/A,cash,standard,GreenCart
1007,27-05-2024,Delhi,Namkeen 500g,Snacks,2,85,170.0,41,3.5,upi,express,SnackBox
1008,2024-03-27,delhi,Milk 1L,Bakery,,55,165.0,38,4.2,cash,Express,FreshFarm
1009,2024-01-27,Delhi,Namkeen 500g,Fruits,,40,200.0,55,4.9,Cash,standard,FarmFresh
1010,2024/05/19,Bengaluru,Onion 1kg,dairy,two,50,250.0,75,N/A,upi,standard,BakeHouse
1011,2024/01/20,delhi,Bun 2pcs,dairy,two,,,27,4.9,cash,standard,GroceryHub
1012,2024/05/28,Jaipur,Chips 200g,Vegetables,,80,320.0,77,4.9,cash,Express,FreshFarm
1013,12-04-2024,Mumbai,Paneer 200g,dairy,3,30,90.0,75,4.7,cash,express,FreshFarm
1014,24-02-2024,Jaipur,Chicken 1kg,Poultry,,,,39,N/A,upi,Standard,FarmFresh
1015,2024-04-01,Jaipur,Apple 1kg,Vegetables,two,50,200.0,29,4.5,Cash,Standard,SnackBox
1016,2024/04/24,Bengaluru,Tomato 1kg,Snacks,4,40,160.0,80,3.5,Cash,standard,FarmFresh
1017,2024/03/12,Mumbai,Apple 1kg,Dairy,5,,,52,N/A,UPI,standard,GroceryHub
1018,2024/02/26,Banglore,Chicken 1kg,dairy,,45,225.0,66,4.9,Cash,Express,GreenCart
1019,2024-06-24,Jaipur,Onion 1kg,Vegetables,2,70,140.0,58,4.8,cash,Standard,BakeHouse
1020,2024/05/04,delhi,Cookies 300g,Dairy,2,70,140.0,29,4.9,upi,standard,FreshFarm
1021,17-02-2024,Banglore,Banana 1dozen,Fruits,2,55,110.0,46,,upi,express,SnackBox
1022,2024-03-12,Pune,Orange 1kg,grocery,2,50,100.0,35,4.5,Card,Standard,FarmFresh
1023,27-03-2024,Pune,Apple 1kg,Snacks,2,85,170.0,44,N/A,Cash,Express,FarmFresh
1024,2024-04-19,Bengaluru,Orange 1kg,grocery,5,50,250.0,77,4.7,cash,Express,GreenCart
1025,2024/04/03,Mumbai,Onion 1kg,Poultry,4,85,340.0,90,4.2,cash,express,FarmFresh
1026,2024/06/02,Mumbai,Namkeen 500g,Dairy,,70,350.0,52,,Cash,standard,BakeHouse
1027,2024/01/13,Mumbai,Cake 500g,dairy,two,80,240.0,83,N/A,Cash,standard,FarmFresh
1028,14-04-2024,Mumbai,Sugar 1kg,Dairy,two,,,53,4.0,upi,Standard,BakeHouse
1029,2024/01/01,Mumbai,Chips 200g,dairy,two,80,240.0,87,4.0,Cash,Express,GreenCart
1030,2024-05-27,Banglore,Chicken 1kg,Snacks,,30,90.0,76,4.2,upi,express,GreenCart
1031,2024/04/11,Jaipur,Tomato 1kg,Vegetables,3,80,240.0,34,N/A,Cash,express,FarmFresh
1032,2024-03-03,Pune,Curd 500g,Poultry,two,55,165.0,78,4.9,upi,Express,SnackBox
1033,2024/06/25,Banglore,Potato 1kg,grocery,5,60,300.0,49,N/A,UPI,express,FarmFresh
1034,2024/01/19,Pune,Paneer 200g,Grocery,4,45,180.0,73,4.2,upi,Express,FarmFresh
1035,2024/02/27,Bengaluru,Namkeen 500g,Bakery,two,80,160.0,34,4.9,Card,standard,FarmFresh
1036,2024-06-27,Banglore,Bun 2pcs,Dairy,two,,,36,4.8,cash,Standard,FarmFresh
1037,01-04-2024,delhi,Bread 400g,dairy,,55,165.0,30,4.9,UPI,standard,FarmFresh
1038,2024/03/12,delhi,Orange 1kg,Poultry,2,50,100.0,47,4.7,UPI,express,GreenCart
1039,2024-04-14,delhi,Curd 500g,grocery,4,40,160.0,42,4.2,Card,standard,FreshFarm
1040,31-01-2024,Delhi,Chips 200g,Dairy,1,80,80.0,86,3.5,UPI,standard,FreshFarm
1041,25-02-2024,Jaipur,Chips 200g,Dairy,,70,280.0,61,4.8,UPI,standard,GreenCart
1042,2024-01-23,Jaipur,Cake 500g,Grocery,4,80,320.0,90,4.2,Cash,Express,GreenCart
1043,03-05-2024,Pune,Bread 400g,Snacks,,100,300.0,83,N/A,cash,standard,BakeHouse
1044,2024-04-05,Delhi,Cake 500g,Dairy,4,70,280.0,25,3.5,Cash,Express,GroceryHub
1045,2024/02/04,Pune,Curd 500g,Dairy,4,30,120.0,81,4.7,cash,standard,GreenCart
1046,28-05-2024,Delhi,Curd 500g,Snacks,2,70,140.0,55,4.5,upi,standard,GroceryHub
1047,2024/06/05,Mumbai,Banana 1dozen,dairy,5,55,275.0,73,4.0,upi,standard,FarmFresh
1048,2024-04-03,Banglore,Wheat Flour 1kg,Bakery,1,100,100.0,52,4.7,Card,Express,FarmFresh
1049,2024/01/16,Bengaluru,Chips 200g,Grocery,,50,50.0,41,4.0,UPI,Standard,FarmFresh
1050,02-02-2024,Mumbai,Bun 2pcs,dairy,3,70,210.0,76,4.0,cash,Standard,BakeHouse
1051,2024-02-26,Jaipur,Curd 500g,Fruits,,40,200.0,40,,upi,express,FreshFarm
1052,08-01-2024,Mumbai,Chips 200g,Fruits,3,85,255.0,55,4.2,upi,Standard,FarmFresh
1053,2024/03/23,Mumbai,Potato 1kg,Bakery,1,30,30.0,35,4.5,upi,standard,BakeHouse
1054,2024-04-23,delhi,Banana 1dozen,Vegetables,1,100,100.0,49,4.8,UPI,Express,GroceryHub
1055,2024/01/15,Mumbai,Rice 1kg,Bakery,2,50,100.0,56,3.5,Card,Express,GreenCart
1056,06-06-2024,delhi,Bread 400g,Dairy,4,,,32,4.5,upi,express,FarmFresh
1057,26-01-2024,Banglore,Bread 400g,dairy,4,45,180.0,80,4.0,upi,Standard,GreenCart
1058,2024-05-17,Jaipur,Chicken 1kg,Bakery,2,80,160.0,27,,Cash,standard,GroceryHub
1059,21-04-2024,Delhi,Curd 500g,Fruits,5,50,250.0,79,N/A,upi,Express,BakeHouse
1060,14-02-2024,Bengaluru,Sugar 1kg,Vegetables,2,70,140.0,58,4.2,cash,standard,GreenCart
1061,2024/04/11,delhi,Orange 1kg,Grocery,2,60,120.0,71,4.8,Cash,express,GroceryHub
1062,13-04-2024,delhi,Eggs 6pcs,Vegetables,two,70,210.0,81,N/A,upi,Standard,GroceryHub
1063,2024-02-29,Pune,Rice 1kg,Snacks,2,45,90.0,62,4.2,Card,Express,GreenCart
1064,2024-05-31,delhi,Wheat Flour 1kg,Snacks,2,50,100.0,37,4.2,Cash,Standard,SnackBox
1065,2024/04/02,delhi,Banana 1dozen,Dairy,1,80,80.0,37,4.9,Cash,express,FreshFarm
1066,2024/06/05,Pune,Chicken 1kg,Fruits,two,55,110.0,68,3.5,UPI,express,GreenCart
1067,2024-05-15,Banglore,Tomato 1kg,Bakery,3,55,165.0,84,4.9,cash,standard,GroceryHub
1068,15-05-2024,Pune,Tomato 1kg,Poultry,2,50,100.0,55,3.5,Cash,Express,BakeHouse
1069,2024-03-23,Delhi,Eggs 6pcs,Grocery,4,55,220.0,83,,Card,express,GroceryHub
1070,2024/05/19,Delhi,Potato 1kg,Grocery,1,100,100.0,48,,upi,express,GreenCart
1071,23-03-2024,Banglore,Paneer 200g,Snacks,4,70,280.0,38,4.5,upi,express,FreshFarm
1072,2024/01/03,Pune,Bun 2pcs,Poultry,1,85,85.0,70,3.5,cash,standard,FreshFarm
1073,2024/05/03,Delhi,Tomato 1kg,Snacks,5,55,275.0,71,,cash,Standard,SnackBox
1074,09-03-2024,Mumbai,Cookies 300g,Fruits,1,45,45.0,35,4.9,Card,standard,FreshFarm
1075,07-06-2024,Bengaluru,Namkeen 500g,dairy,4,40,160.0,82,4.7,UPI,express,FarmFresh
1076,2024-01-01,Pune,Bun 2pcs,Dairy,1,30,30.0,85,3.5,Cash,Express,FarmFresh
1077,2024-03-30,Pune,Chips 200g,Dairy,3,30,90.0,63,,UPI,Standard,GroceryHub
1078,2024/01/09,Mumbai,Orange 1kg,Fruits,two,100,100.0,47,4.5,upi,express,FreshFarm
1079,27-04-2024,Jaipur,Chicken 1kg,Grocery,3,50,150.0,55,,upi,Express,GroceryHub
1080,2024/02/12,Jaipur,Potato 1kg,Poultry,2,70,140.0,32,,Card,Standard,FarmFresh
1081,2024-04-28,Banglore,Potato 1kg,Poultry,5,70,350.0,36,N/A,upi,Standard,GroceryHub
1082,2024/06/17,Banglore,Apple 1kg,Vegetables,5,45,225.0,55,4.2,Card,Standard,GreenCart
1083,2024-03-11,Bengaluru,Wheat Flour 1kg,grocery,,80,240.0,45,4.7,upi,standard,GroceryHub
1084,2024-06-11,Mumbai,Wheat Flour 1kg,Fruits,2,85,170.0,73,4.7,UPI,standard,GreenCart
1085,2024/05/22,Delhi,Bread 400g,grocery,two,45,45.0,76,4.0,Cash,standard,GreenCart
1086,2024-05-26,Banglore,Rice 1kg,dairy,two,,,29,4.8,UPI,Express,FreshFarm
1087,2024/05/12,Delhi,Sugar 1kg,Dairy,5,50,250.0,64,4.5,upi,Standard,FreshFarm
1088,2024-03-02,Pune,Apple 1kg,Bakery,2,30,60.0,29,4.5,Card,Standard,BakeHouse
1089,2024/06/03,Banglore,Sugar 1kg,Dairy,,100,500.0,76,,Card,standard,SnackBox
1090,2024-06-10,Mumbai,Eggs 6pcs,grocery,4,100,400.0,88,4.2,Cash,express,GroceryHub
1091,2024/01/11,Jaipur,Cake 500g,Vegetables,two,100,300.0,36,4.7,cash,Express,FreshFarm
1092,16-05-2024,Banglore,Bread 400g,Dairy,,80,240.0,44,,Card,standard,SnackBox
1093,15-03-2024,Jaipur,Paneer 200g,Vegetables,4,70,280.0,88,4.5,Cash,Standard,BakeHouse
1094,16-04-2024,Banglore,Apple 1kg,Vegetables,3,50,150.0,61,4.0,Cash,express,BakeHouse
1095,2024/05/03,Delhi,Apple 1kg,Grocery,,50,50.0,65,4.5,Card,express,SnackBox
1096,15-01-2024,Pune,Potato 1kg,Fruits,1,,,84,3.5,cash,Express,GroceryHub
1097,2024/01/05,Jaipur,Banana 1dozen,Snacks,,70,210.0,69,N/A,cash,express,FarmFresh
1098,2024/04/03,Delhi,Onion 1kg,Vegetables,5,55,275.0,76,N/A,Cash,Express,GroceryHub
1099,21-05-2024,Mumbai,Banana 1dozen,Grocery,1,,,39,3.5,Cash,standard,FreshFarm
1100,2024/03/18,Banglore,Chicken 1kg,grocery,two,50,200.0,88,3.5,Cash,express,FarmFresh
1101,2024-03-03,Mumbai,Cake 500g,Grocery,two,60,60.0,69,N/A,upi,express,GroceryHub
1102,2024/01/02,Jaipur,Bun 2pcs,Dairy,3,85,255.0,72,3.5,Card,express,BakeHouse
1103,2024/03/20,Mumbai,Orange 1kg,Vegetables,1,45,45.0,80,4.2,cash,Standard,FreshFarm
1104,2024-06-04,Jaipur,Eggs 6pcs,Grocery,3,55,165.0,67,4.5,cash,Standard,GroceryHub
1105,2024-02-13,Mumbai,Curd 500g,Vegetables,2,55,110.0,76,N/A,Card,standard,FarmFresh
1106,29-02-2024,delhi,Milk 1L,Dairy,3,45,135.0,63,4.5,UPI,Express,GreenCart
1107,17-06-2024,Delhi,Chicken 1kg,Snacks,1,,,86,4.2,cash,express,GreenCart
1108,28-03-2024,Bengaluru,Eggs 6pcs,Snacks,3,100,300.0,75,4.9,cash,Standard,BakeHouse
1109,30-05-2024,Banglore,Tomato 1kg,dairy,4,70,280.0,74,3.5,UPI,Standard,SnackBox
1110,09-03-2024,Bengaluru,Chips 200g,Vegetables,two,45,90.0,30,4.7,upi,express,SnackBox
1111,2024/01/28,Pune,Apple 1kg,Poultry,1,85,85.0,82,4.9,UPI,standard,GroceryHub
1112,2024-06-21,Banglore,Curd 500g,Poultry,1,40,40.0,29,4.5,UPI,Standard,FreshFarm
1113,22-01-2024,Jaipur,Curd 500g,Poultry,4,50,200.0,75,3.5,cash,Express,FreshFarm
1114,15-01-2024,Jaipur,Namkeen 500g,Grocery,two,40,200.0,55,,cash,Standard,FreshFarm
1115,2024-06-26,Jaipur,Banana 1dozen,Vegetables,4,50,200.0,86,N/A,upi,express,GreenCart
1116,2024/06/12,delhi,Orange 1kg,Grocery,5,100,500.0,39,,Cash,Express,SnackBox
1117,17-02-2024,Delhi,Curd 500g,Grocery,3,,,48,4.0,UPI,express,BakeHouse
1118,2024-01-27,Bengaluru,Milk 1L,Grocery,4,30,120.0,69,4.2,Cash,express,GreenCart
1119,2024/01/29,Banglore,Potato 1kg,Grocery,3,45,135.0,60,,upi,standard,BakeHouse
1120,01-05-2024,delhi,Chips 200g,Dairy,3,100,300.0,84,4.2,cash,standard,BakeHouse
1121,2024/04/15,Mumbai,Bread 400g,Dairy,,80,320.0,54,4.8,cash,Express,FreshFarm
1122,24-04-2024,Delhi,Bread 400g,Grocery,4,40,160.0,45,4.8,cash,Express,BakeHouse
1123,2024-02-16,Mumbai,Bun 2pcs,Snacks,two,70,280.0,76,4.7,upi,Standard,GreenCart
1124,18-06-2024,Bengaluru,Bread 400g,Snacks,4,40,160.0,42,4.5,upi,Standard,GreenCart
1125,2024-03-15,Pune,Rice 1kg,dairy,,45,90.0,53,4.2,upi,express,BakeHouse
1126,2024-02-23,Delhi,Cookies 300g,dairy,two,100,400.0,30,4.8,UPI,Express,FreshFarm
1127,12-01-2024,Bengaluru,Paneer 200g,Poultry,2,50,100.0,60,4.7,upi,Express,FarmFresh
1128,2024/06/22,Delhi,Banana 1dozen,Vegetables,4,80,320.0,52,4.9,upi,express,GroceryHub
1129,2024/03/26,Jaipur,Milk 1L,Poultry,two,85,340.0,47,,UPI,Express,FarmFresh
1130,2024/05/18,delhi,Potato 1kg,Snacks,two,55,110.0,25,4.8,Cash,Standard,GreenCart
1131,2024-02-18,Jaipur,Milk 1L,Vegetables,5,45,225.0,52,4.5,upi,Standard,SnackBox
1132,12-06-2024,Jaipur,Cake 500g,Grocery,,80,400.0,70,4.9,Cash,Standard,GroceryHub
1133,2024-02-22,Jaipur,Apple 1kg,grocery,two,40,40.0,30,4.0,Cash,Express,GreenCart
1134,2024/02/26,Bengaluru,Wheat Flour 1kg,Grocery,two,40,40.0,38,4.7,upi,standard,BakeHouse
1135,2024-03-21,Jaipur,Sugar 1kg,grocery,4,30,120.0,72,4.2,cash,Express,GreenCart
1136,2024-04-11,Delhi,Bread 400g,Grocery,,50,100.0,27,4.9,upi,standard,GroceryHub
1137,17-04-2024,Jaipur,Bun 2pcs,Poultry,two,100,300.0,86,N/A,UPI,Standard,GreenCart
1138,2024-02-16,Delhi,Bun 2pcs,Vegetables,5,70,350.0,67,4.8,Cash,Standard,BakeHouse
1139,2024-04-26,delhi,Orange 1kg,Dairy,,40,200.0,37,4.2,UPI,Standard,GroceryHub
1140,2024-04-21,Banglore,Onion 1kg,Snacks,2,70,140.0,58,N/A,Cash,express,BakeHouse
1141,2024/01/01,Bengaluru,Potato 1kg,dairy,3,80,240.0,47,4.2,Card,Standard,GreenCart
1142,2024-05-10,Pune,Cake 500g,Fruits,2,55,110.0,57,4.2,cash,Standard,FarmFresh
1143,2024/02/29,Pune,Chicken 1kg,Poultry,5,70,350.0,36,4.9,upi,standard,BakeHouse
1144,2024-06-07,Jaipur,Rice 1kg,dairy,3,85,255.0,64,4.0,Cash,Express,FreshFarm
1145,2024-05-31,Pune,Bread 400g,Dairy,2,100,200.0,33,3.5,Card,standard,GreenCart
1146,2024-01-12,Bengaluru,Banana 1dozen,Bakery,2,50,100.0,46,,Card,standard,BakeHouse
1147,2024/05/21,Mumbai,Cookies 300g,Poultry,5,100,500.0,67,4.9,UPI,standard,FreshFarm
1148,2024-04-25,Banglore,Banana 1dozen,dairy,4,,,61,4.7,UPI,standard,FarmFresh
1149,03-02-2024,delhi,Milk 1L,dairy,two,50,100.0,71,4.9,upi,Standard,SnackBox
1150,15-01-2024,delhi,Wheat Flour 1kg,dairy,4,80,320.0,80,4.5,cash,standard,SnackBox
1151,2024/02/21,Bengaluru,Namkeen 500g,Bakery,5,30,150.0,80,4.5,cash,Standard,SnackBox
1152,20-05-2024,Mumbai,Milk 1L,Poultry,3,55,165.0,68,4.9,Card,express,FarmFresh
1153,19-02-2024,Pune,Onion 1kg,Poultry,4,,,31,4.7,Card,express,FreshFarm
1154,2024/05/20,Mumbai,Orange 1kg,Bakery,3,80,240.0,42,4.5,Cash,Express,GroceryHub
1155,2024-02-05,Bengaluru,Cake 500g,Grocery,,,,25,N/A,Cash,Standard,GreenCart
1156,2024-02-22,Delhi,Banana 1dozen,Grocery,4,,,73,4.7,cash,Standard,FarmFresh
1157,17-02-2024,Bengaluru,Onion 1kg,Grocery,,60,240.0,48,N/A,UPI,express,FarmFresh
1158,09-03-2024,Mumbai,Sugar 1kg,grocery,,30,60.0,69,4.2,UPI,Standard,GreenCart
1159,2024-06-02,Banglore,Milk 1L,grocery,5,30,150.0,53,N/A,Cash,standard,FreshFarm
1160,24-05-2024,delhi,Bread 400g,Bakery,,80,320.0,59,N/A,cash,express,GreenCart
1161,2024-01-25,Bengaluru,Paneer 200g,dairy,5,45,225.0,34,4.8,UPI,Standard,FreshFarm
1162,25-02-2024,Bengaluru,Chips 200g,Fruits,two,50,150.0,38,4.7,Cash,Standard,BakeHouse
1163,27-02-2024,Bengaluru,Cookies 300g,Grocery,5,40,200.0,68,4.2,cash,standard,FarmFresh
1164,2024/06/17,Jaipur,Rice 1kg,Vegetables,1,40,40.0,32,4.5,upi,standard,GreenCart
1165,17-06-2024,Jaipur,Eggs 6pcs,Vegetables,3,45,135.0,49,4.5,Card,Express,FarmFresh
1166,24-06-2024,Mumbai,Apple 1kg,Snacks,1,70,70.0,29,4.5,upi,Standard,SnackBox
1167,2024-05-30,delhi,Potato 1kg,Bakery,4,80,320.0,58,4.9,Cash,Standard,GreenCart
1168,17-02-2024,Delhi,Chicken 1kg,Poultry,,50,100.0,76,4.8,Cash,express,BakeHouse
1169,2024/04/24,Jaipur,Bun 2pcs,Vegetables,4,45,180.0,89,4.5,UPI,Standard,SnackBox
1170,2024-02-02,Mumbai,Chicken 1kg,dairy,5,80,400.0,42,4.9,UPI,standard,FarmFresh
1171,2024-06-07,Delhi,Chips 200g,Grocery,5,70,350.0,71,4.9,cash,express,SnackBox
1172,2024/05/04,Mumbai,Rice 1kg,Vegetables,two,55,55.0,58,4.7,Cash,standard,GroceryHub
1173,2024/01/11,Pune,Chicken 1kg,Bakery,3,,,55,4.2,cash,Express,FreshFarm
1174,02-01-2024,Banglore,Tomato 1kg,Fruits,3,,,40,4.9,UPI,express,FreshFarm
1175,2024/03/22,Banglore,Eggs 6pcs,Poultry,two,40,120.0,41,4.0,cash,Express,GroceryHub
1176,2024-01-07,Mumbai,Paneer 200g,Poultry,4,50,200.0,53,N/A,UPI,Standard,FreshFarm
1177,2024-01-12,Jaipur,Namkeen 500g,dairy,5,55,275.0,44,4.2,Cash,standard,GroceryHub
1178,14-04-2024,Bengaluru,Rice 1kg,Poultry,5,,,42,3.5,UPI,standard,BakeHouse
1179,2024-03-07,Bengaluru,Rice 1kg,dairy,,30,60.0,28,4.2,UPI,standard,FreshFarm
1180,19-01-2024,Delhi,Orange 1kg,Poultry,,100,300.0,28,,UPI,Express,BakeHouse
1181,03-02-2024,Delhi,Cookies 300g,grocery,two,80,240.0,65,4.5,cash,Standard,SnackBox
1182,2024/02/10,Mumbai,Tomato 1kg,Poultry,,55,110.0,83,N/A,cash,standard,SnackBox
1183,07-03-2024,Jaipur,Potato 1kg,Grocery,two,45,225.0,62,4.2,UPI,standard,GreenCart
1184,2024/03/02,Pune,Cookies 300g,grocery,,70,350.0,63,3.5,Card,standard,BakeHouse
1185,19-01-2024,Pune,Paneer 200g,Fruits,1,,,51,4.8,upi,standard,BakeHouse
1186,2024-06-23,Delhi,Namkeen 500g,Vegetables,3,40,120.0,35,,Card,Express,BakeHouse
1187,2024/01/22,Delhi,Namkeen 500g,Fruits,,50,100.0,75,N/A,Card,express,FreshFarm
1188,2024-02-16,Delhi,Bread 400g,Grocery,2,40,80.0,50,3.5,UPI,standard,GreenCart
1189,25-06-2024,Banglore,Cookies 300g,Fruits,2,50,100.0,42,4.9,Cash,Standard,GreenCart
1190,11-03-2024,delhi,Tomato 1kg,dairy,2,100,200.0,45,4.2,cash,Express,FarmFresh
1191,2024/05/10,Banglore,Rice 1kg,Dairy,1,80,80.0,61,4.2,cash,Standard,GroceryHub
1192,16-05-2024,Mumbai,Apple 1kg,Fruits,,85,170.0,75,4.7,cash,Express,SnackBox
1193,05-04-2024,Bengaluru,Curd 500g,Vegetables,,40,200.0,90,N/A,Card,Express,FreshFarm
1194,2024-06-11,Bengaluru,Bun 2pcs,grocery,2,70,140.0,36,4.8,cash,Standard,SnackBox
1195,2024/03/23,Jaipur,Onion 1kg,Grocery,5,85,425.0,49,4.8,cash,Standard,BakeHouse
1196,15-02-2024,Pune,Chicken 1kg,Fruits,3,50,150.0,40,4.9,UPI,standard,BakeHouse
1197,2024/04/22,Jaipur,Banana 1dozen,Bakery,2,45,90.0,82,4.0,upi,Standard,GreenCart
1198,2024-02-05,Delhi,Chips 200g,grocery,1,55,55.0,41,4.8,upi,Standard,SnackBox
